Name,URL,Country,Region_Focus,Bias_Perspective,Subject_Matter_Expertise,Topics_URL,Latest_Analysis_URL,Experts_URL
Center for Strategic and International Studies (CSIS),https://www.csis.org,United States,Global / Indo-Pacific / Middle East,Bipartisan; U.S. national-security establishment; defense-forward,Defense; China; Indo-Pacific; Middle East; cyber; AI; energy security; geoeconomics,https://www.csis.org/topics,https://www.csis.org/analysis,https://www.csis.org/about/people/experts
Brookings Institution,https://www.brookings.edu,United States,Global,Center to Center-Left; nonpartisan technocratic; liberal-internationalist,Foreign policy; governance; global economy; Asia; Europe; Middle East; defense; democracy,https://www.brookings.edu/programs/foreign-policy/,https://www.brookings.edu/research/,https://www.brookings.edu/experts/
Carnegie Endowment for International Peace,https://carnegieendowment.org,United States,Global (centers in DC/Beirut/Berlin/Brussels/New Delhi),Nonpartisan; internationalist; diplomacy-oriented,Russia; China; Middle East; South Asia; democracy; technology; nuclear policy; Europe,https://carnegieendowment.org/research,https://carnegieendowment.org/publications,https://carnegieendowment.org/experts
Council on Foreign Relations (CFR),https://www.cfr.org,United States,Global,Nonpartisan; foreign-policy establishment; internationalist-realist mix,U.S. foreign policy; global conflicts; China; Russia; trade; climate; international institutions,https://www.cfr.org/topics,https://www.cfr.org/latest,https://www.cfr.org/experts
RAND Corporation,https://www.rand.org,United States,Global,Nonpartisan; data-driven; defense and government research contractor,Defense; wargaming; force posture; nuclear policy; cyber; China; Russia; infrastructure,https://www.rand.org/topics.html,https://www.rand.org/pubs.html,https://www.rand.org/about/people.html
Atlantic Council,https://www.atlanticcouncil.org,United States,Transatlantic / Global,Atlanticist; pro-NATO; often hawkish on Russia and Iran; foreign-government and corporate funding,NATO; Europe; Russia; Ukraine; energy; cyber; Middle East; sanctions; geoeconomics,https://www.atlanticcouncil.org/programs/,https://www.atlanticcouncil.org/blogs/new-atlanticist/,https://www.atlanticcouncil.org/expert/
Wilson Center,https://www.wilsoncenter.org,United States,Global,Congressionally chartered; nonpartisan policy-scholar bridge,Russia (Kennan Institute); China (Kissinger Institute); Latin America; Middle East; environmental security,https://www.wilsoncenter.org/programs,https://www.wilsoncenter.org/publications,https://www.wilsoncenter.org/experts
Stimson Center,https://www.stimson.org,United States,Global,Nonpartisan; pragmatic security and arms-control orientation,Nuclear security; South Asia; East Asia; climate security; conflict prevention; peace operations,https://www.stimson.org/research/,https://www.stimson.org/analysis/,https://www.stimson.org/experts/
Center for a New American Security (CNAS),https://www.cnas.org,United States,Global / Indo-Pacific,Center-Left; U.S. national-security establishment; strong Pentagon ties,Defense strategy; Indo-Pacific; China; AI; cyber; military modernization; tech competition,https://www.cnas.org/research,https://www.cnas.org/publications,https://www.cnas.org/people
American Enterprise Institute (AEI),https://www.aei.org,United States,Global,Conservative; center-right; free-market and strong-defense orientation,Foreign policy; defense; China; Russia; Middle East; democracy; economics,https://www.aei.org/policy-areas/foreign-and-defense-policy/,https://www.aei.org/research-products/,https://www.aei.org/scholars/
Heritage Foundation,https://www.heritage.org,United States,Global,Right; conservative; advocacy-oriented; architect of Project 2025,Defense; China; homeland security; nuclear deterrence; energy; sovereignty; U.S. policy,https://www.heritage.org/defense,https://www.heritage.org/reports,https://www.heritage.org/staff
Cato Institute,https://www.cato.org,United States,Global,Libertarian; restraint-oriented; skeptical of interventionism,Foreign policy restraint; defense spending; trade; immigration; civil liberties,https://www.cato.org/policy-areas/foreign-policy,https://www.cato.org/policy-analysis,https://www.cato.org/people
Hudson Institute,https://www.hudson.org,United States,Global,Conservative; hawkish; U.S. power and technology-security focused,China; Taiwan; Iran; Russia; defense industrial base; cyber; space,https://www.hudson.org/policy-centers,https://www.hudson.org/research,https://www.hudson.org/experts
Foundation for Defense of Democracies (FDD),https://www.fdd.org,United States,Global / Middle East,Conservative; hawkish; hardline on Iran; sanctions and counterterrorism focused,Iran; Israel; terrorism finance; sanctions; cyber; China; Russia; illicit networks,https://www.fdd.org/issues/,https://www.fdd.org/analysis/,https://www.fdd.org/team/
Quincy Institute for Responsible Statecraft,https://quincyinst.org,United States,Global,Transpartisan; realist-restraint; anti-interventionist; Soros + Koch funded,Military restraint; diplomacy; Middle East; China policy; sanctions; defense spending; think-tank funding transparency,https://quincyinst.org/research/,https://quincyinst.org/research/,https://quincyinst.org/experts/
Foreign Policy Research Institute (FPRI),https://www.fpri.org,United States,Global,Center-right; realist and strategic-history oriented,Eurasia; Russia; China; Middle East; national security; military history,https://www.fpri.org/research/,https://www.fpri.org/articles/,https://www.fpri.org/contributors/
Institute for the Study of War (ISW),https://www.understandingwar.org,United States,Global / Conflict Zones,Defense-oriented; hawkish; operational OSINT and battlefield assessment focus,Russia-Ukraine war; Iran axis; Syria; China-Taiwan; campaign assessments; open-source intelligence,https://www.understandingwar.org/publications,https://www.understandingwar.org/publications,https://www.understandingwar.org/who-we-are
Center for Strategic and Budgetary Assessments (CSBA),https://csbaonline.org,United States,Global,Defense-planning; Pentagon-adjacent; force-design focused,Force structure; deterrence; long-range strike; naval strategy; China; defense budgets,https://csbaonline.org/research,https://csbaonline.org/research/publications,https://csbaonline.org/about/people
CNA,https://www.cna.org,United States,Global,Federally funded research; defense-analysis orientation,Navy; Marines; homeland security; wargaming; operations research; China; Russia,https://www.cna.org/research,https://www.cna.org/reports,https://www.cna.org/our-experts
Belfer Center for Science and International Affairs,https://www.belfercenter.org,United States,Global,Academic; centrist technocratic; Harvard Kennedy School affiliated,Nuclear policy; cyber; AI; China; Russia; climate; intelligence; diplomacy,https://www.belfercenter.org/topics,https://www.belfercenter.org/publications,https://www.belfercenter.org/experts
Hoover Institution,https://www.hoover.org,United States,Global,Conservative; classical liberal; Stanford affiliated,U.S. strategy; China; Russia; military history; economics; democracy; AI governance,https://www.hoover.org/topics,https://www.hoover.org/research,https://www.hoover.org/fellows
Jamestown Foundation,https://jamestown.org,United States,Eurasia / China / Terrorism,Center-right; hawkish on Russia and China; strong OSINT,Russia; China; Central Asia; Caucasus; terrorism; gray-zone operations,https://jamestown.org/programs/,https://jamestown.org/program/eurasia-daily-monitor/,https://jamestown.org/experts/
Center for the National Interest,https://cftni.org,United States,Global,Realist; conservative-leaning; restraint-aware,Great-power competition; U.S. strategy; Russia; China; Middle East,https://cftni.org/research/,https://nationalinterest.org/,https://cftni.org/experts/
American Foreign Policy Council,https://www.afpc.org,United States,Global,Conservative; hawkish; U.S. strategic-competition focused,Russia; China; Iran; missile defense; counterterrorism; U.S. foreign policy,https://www.afpc.org/programs,https://www.afpc.org/publications,https://www.afpc.org/experts
Center for American Progress (CAP),https://www.americanprogress.org,United States,Global,Progressive; center-left; Democratic policy ecosystem,Foreign policy; democracy; climate security; national security; human rights,https://www.americanprogress.org/topic/security/,https://www.americanprogress.org/article/,https://www.americanprogress.org/people/
Institute for Policy Studies,https://ips-dc.org,United States,Global,Progressive-left; anti-militarist; global justice oriented,Peace policy; inequality; militarism; climate justice; global economy,https://ips-dc.org/programs/,https://ips-dc.org/articles/,https://ips-dc.org/people/
German Marshall Fund of the United States (GMF),https://www.gmfus.org,United States / Europe,Transatlantic,Center; pro-transatlantic; pro-NATO; liberal-democratic,Transatlantic relations; democracy; technology; migration; Russia; disinformation; Indo-Pacific,https://www.gmfus.org/issues,https://www.gmfus.org/publications,https://www.gmfus.org/experts
Pew Research Center,https://www.pewresearch.org,United States,Global,Nonpartisan; data/polling only; does not take policy positions,Global attitudes; demographics; media and technology; religion; immigration; public opinion,https://www.pewresearch.org/topics/,https://www.pewresearch.org/publications/,https://www.pewresearch.org/experts/
Baker Institute for Public Policy,https://www.bakerinstitute.org,United States,Global,Nonpartisan; university-affiliated (Rice University); pragmatic,Energy; Middle East; China; Mexico; health; science and technology; public policy,https://www.bakerinstitute.org/research,https://www.bakerinstitute.org/research,https://www.bakerinstitute.org/experts
United States Institute of Peace (USIP),https://www.usip.org,United States,Global,U.S. congressionally funded; conflict-prevention and peacebuilding oriented,Conflict prevention; mediation; peacebuilding; fragile states; violent extremism,https://www.usip.org/programs,https://www.usip.org/publications,https://www.usip.org/people
Federation of American Scientists (FAS),https://fas.org,United States,Global,Science-based; transparency and risk-reduction oriented,Nuclear weapons; government secrecy; defense; emerging technology; biosecurity,https://fas.org/issues/,https://fas.org/publications/,https://fas.org/expert/
Arms Control Association,https://www.armscontrol.org,United States,Global,Arms-control advocacy; nonproliferation and risk-reduction oriented,Nuclear weapons; arms treaties; Iran; North Korea; missile defense; WMD,https://www.armscontrol.org/factsheets,https://www.armscontrol.org/news,https://www.armscontrol.org/about/staff
Nuclear Threat Initiative (NTI),https://www.nti.org,United States,Global,Nonpartisan; nuclear-risk and WMD-reduction focused,Nuclear security; biosecurity; radiological risk; arms control; WMD threat reduction,https://www.nti.org/analysis/,https://www.nti.org/analysis/,https://www.nti.org/about/people/
James Martin Center for Nonproliferation Studies (CNS),https://nonproliferation.org,United States,Global,Academic; nonproliferation specialist; Monterey affiliated,Nuclear weapons; chemical weapons; biological weapons; missiles; export controls,https://nonproliferation.org/category/analysis/,https://nonproliferation.org/category/analysis/,https://nonproliferation.org/experts/
Stratfor / RANE Worldview,https://worldview.stratfor.com,United States,Global,Private geopolitical-intelligence firm; realist forecasting orientation,Geopolitical forecasting; security risk; country risk; global trends,https://worldview.stratfor.com/regions,https://worldview.stratfor.com/,https://www.ranenetwork.com/experts
Geopolitical Futures,https://geopoliticalfutures.com,United States,Global,Private geopolitical forecasting; realist and geography-driven (George Friedman),Long-range geopolitical forecasting; great-power competition; regional risk,https://geopoliticalfutures.com/analysis/,https://geopoliticalfutures.com/analysis/,https://geopoliticalfutures.com/about/
Chatham House (Royal Institute of International Affairs),https://www.chathamhouse.org,United Kingdom,Global,Independent; UK establishment; liberal internationalist; one of the oldest think tanks,Global order; UK foreign policy; Russia; Europe; Middle East; climate; Africa; Asia-Pacific,https://www.chathamhouse.org/topics,https://www.chathamhouse.org/publications,https://www.chathamhouse.org/about-us/our-people
International Institute for Strategic Studies (IISS),https://www.iiss.org,United Kingdom,Global,Nonpartisan; defense and strategic-establishment; authoritative data-driven assessments,Military balance; Asia security; Middle East; nuclear; cyber; geopolitics; defense economics,https://www.iiss.org/research,https://www.iiss.org/online-analysis,https://www.iiss.org/people
Royal United Services Institute (RUSI),https://www.rusi.org,United Kingdom,Global,Pro-Western security establishment; world's oldest defence think tank (est. 1831),Russia-Ukraine war; land warfare; airpower; cyber; intelligence; terrorism; sanctions,https://www.rusi.org/explore-our-research,https://www.rusi.org/explore-our-research/publications/commentary,https://www.rusi.org/people
Centre for European Reform (CER),https://www.cer.eu,United Kingdom,Europe,Pro-European; liberal internationalist,EU politics; Brexit; European defense; trade; Russia; China; enlargement,https://www.cer.eu/research-topics,https://www.cer.eu/insights,https://www.cer.eu/experts
European Leadership Network (ELN),https://www.europeanleadershipnetwork.org,United Kingdom,Euro-Atlantic,Arms-control; risk-reduction network; Euro-Atlantic security focused,Nuclear risk; arms control; NATO-Russia; strategic stability; escalation management,https://www.europeanleadershipnetwork.org/publications/,https://www.europeanleadershipnetwork.org/commentary/,https://www.europeanleadershipnetwork.org/networks/
International Crisis Group (ICG),https://www.crisisgroup.org,Belgium / Global,Global / Conflict Zones,Nonprofit NGO; conflict-prevention; diplomacy-oriented; field-based analysts,Active conflicts; early warning; mediation; insurgency; coups; civil wars; CrisisWatch tracker,https://www.crisisgroup.org/regions,https://www.crisisgroup.org/latest-updates,https://www.crisisgroup.org/who-we-are/our-people
Stockholm International Peace Research Institute (SIPRI),https://www.sipri.org,Sweden,Global,Independent; peace-research; data-heavy; nonpartisan; gold standard for arms data,Arms transfers; military expenditure; nuclear weapons; arms control; peace operations,https://www.sipri.org/research,https://www.sipri.org/publications,https://www.sipri.org/media/issue_experts
European Council on Foreign Relations (ECFR),https://ecfr.eu,Pan-European,Europe / Global,Center-Left; pro-European integration; strategic-autonomy oriented,EU foreign policy; Russia; China; Middle East; defense; geoeconomics; migration,https://ecfr.eu/topics/,https://ecfr.eu/articles/,https://ecfr.eu/profile/
European Union Institute for Security Studies (EUISS),https://www.iss.europa.eu,European Union,Europe / Global,Official EU agency; pro-EU institutional perspective; not fully independent,EU foreign policy; security; defense; strategic foresight; cyber; AI; Indo-Pacific,https://www.iss.europa.eu/topics,https://www.iss.europa.eu/publications,https://www.iss.europa.eu/about-us
German Institute for International and Security Affairs (SWP),https://www.swp-berlin.org/en/,Germany,Europe / Global,Government-advisory but analytically independent; German and EU policy lens,German foreign policy; EU; Russia; Middle East; Africa; migration; global governance,https://www.swp-berlin.org/en/topics,https://www.swp-berlin.org/en/publications,https://www.swp-berlin.org/en/researchers
German Council on Foreign Relations (DGAP),https://dgap.org/en,Germany,Europe,German Atlanticist and European policy community; centrist establishment,German foreign policy; Europe; security and defense; technology; Russia; China,https://dgap.org/en/research,https://dgap.org/en/research/publications,https://dgap.org/en/experts
French Institute of International Relations (Ifri),https://www.ifri.org/en,France,Europe / Global,Independent; French foreign-policy establishment; strategic-autonomy aware,France; EU; Russia; Middle East; Africa; energy; security; space; Indo-Pacific,https://www.ifri.org/en/research-ifri,https://www.ifri.org/en/newsroom,https://www.ifri.org/en/list-experts
Bruegel,https://www.bruegel.org,Belgium,Europe,Technocratic; pro-EU economic-policy orientation,EU economy; sanctions; trade; energy; technology; China economy; industrial policy,https://www.bruegel.org/topics,https://www.bruegel.org/analysis,https://www.bruegel.org/people
Centre for European Policy Studies (CEPS),https://www.ceps.eu,Belgium,Europe,EU policy establishment; technocratic; pro-European integration,EU policy; enlargement; trade; energy; digital policy; migration; security; institutions,https://www.ceps.eu/research-areas/,https://www.ceps.eu/ceps-publications/,https://www.ceps.eu/ceps-staff/
Istituto Affari Internazionali (IAI),https://www.iai.it/en,Italy,Europe / Mediterranean,Independent; Italian-European internationalist; pro-EU and multilateral,Mediterranean; Italy foreign policy; EU; NATO; defense; energy; Middle East,https://www.iai.it/en/ricerche,https://www.iai.it/en/pubblicazioni,https://www.iai.it/en/persone
Clingendael Institute,https://www.clingendael.org,Netherlands,Europe / Global,Independent; Dutch and EU policy lens; pragmatic diplomatic orientation,EU; security; migration; energy; China; Russia; diplomacy; strategic foresight,https://www.clingendael.org/research,https://www.clingendael.org/publications,https://www.clingendael.org/experts
