Name,URL,Country,Region_Focus,Bias_Perspective,Subject_Matter_Expertise,Topics_URL,Latest_Analysis_URL,Experts_URL
Danish Institute for International Studies (DIIS),https://www.diis.dk/en,Denmark,Global,Academic; Nordic; independent and evidence-driven,Arctic; security; migration; development; Africa; Middle East; global order,https://www.diis.dk/en/research,https://www.diis.dk/en/publications,https://www.diis.dk/en/experts
Polish Institute of International Affairs (PISM),https://www.pism.pl,Poland,Europe / Eastern Flank,Polish; NATO-forward; strong Russia threat-perception lens,Russia; Ukraine; NATO; EU; Central Europe; China; energy security,https://www.pism.pl/topics,https://www.pism.pl/publications,https://www.pism.pl/experts
Centre for Eastern Studies (OSW),https://www.osw.waw.pl/en,Poland,Eastern Europe / Eurasia,Polish state-funded analytical center; excellent on Russia and Ukraine,Russia; Ukraine; Belarus; Central Asia; Caucasus; energy; sanctions; internal politics,https://www.osw.waw.pl/en/region,https://www.osw.waw.pl/en/publikacje/analyses,https://www.osw.waw.pl/en/experts
International Centre for Defence and Security (ICDS),https://icds.ee/en,Estonia,Baltic / NATO,Baltic; NATO-forward; Russia-deterrence and hybrid warfare perspective,Russia; Baltic security; NATO Eastern Flank; cyber; resilience; hybrid threats,https://icds.ee/en/category/publications/,https://icds.ee/en/category/analysis/,https://icds.ee/en/people/
Center for Security Studies (CSS ETH Zurich),https://css.ethz.ch/en.html,Switzerland,Europe / Global,Academic; Swiss; concise high-quality security-policy analysis,Strategic trends; cyber; arms control; Europe; Russia; resilience; mediation,https://css.ethz.ch/en/research.html,https://css.ethz.ch/en/publications.html,https://css.ethz.ch/en/center/people.html
Bonn International Centre for Conflict Studies (BICC),https://www.bicc.de,Germany,Global,Peace and conflict research; European academic-policy lens,Militarization; arms control; displacement; conflict resources; security sector reform,https://www.bicc.de/topics,https://www.bicc.de/publications,https://www.bicc.de/about/staff
Mercator Institute for China Studies (MERICS),https://merics.org/en,Germany,Europe / China,Independent European China-specialist; skeptical of CCP coercive behavior,China politics; economy; technology; military-civil fusion; EU-China; Taiwan; industrial policy,https://merics.org/en/topics,https://merics.org/en/analysis,https://merics.org/en/team
Lowy Institute,https://www.lowyinstitute.org,Australia,Indo-Pacific,Independent Australian; liberal internationalist; Indo-Pacific strategic community,Australia foreign policy; China; Pacific Islands; Southeast Asia; aid; Asia Power Index,https://www.lowyinstitute.org/research,https://www.lowyinstitute.org/the-interpreter,https://www.lowyinstitute.org/people/experts
Australian Strategic Policy Institute (ASPI),https://www.aspi.org.au,Australia,Indo-Pacific,Australian defense-establishment; government-founded; defense and tech-company funded,China; cyber; critical technology; defense; Pacific; deterrence; gray-zone influence,https://www.aspi.org.au/research,https://www.aspistrategist.org.au,https://www.aspi.org.au/experts
S. Rajaratnam School of International Studies (RSIS),https://www.rsis.edu.sg,Singapore,Southeast Asia / Indo-Pacific,Academic; Singapore strategic-policy perspective; pragmatic ASEAN lens,ASEAN; maritime security; terrorism; China-Southeast Asia; cyber; nontraditional security,https://www.rsis.edu.sg/research/,https://www.rsis.edu.sg/rsis-publication/rsis/,https://rsis.edu.sg/about-rsis/staff-profiles/faculty-and-research/
Japan Institute of International Affairs (JIIA),https://www.jiia.or.jp/en,Japan,East Asia / Indo-Pacific,Independent; nonpartisan Japanese foreign-policy establishment,Japan foreign policy; China; Taiwan; North Korea; maritime security; nuclear policy,https://www.jiia-jic.jp/en/resourcelibrary/,https://www.jiia.or.jp/en/column/,https://www.jiia.or.jp/en/researcher/
National Institute for Defense Studies (NIDS),https://www.nids.mod.go.jp/english/,Japan,East Asia / Indo-Pacific,Japanese Ministry of Defense-affiliated; official defense scholarship,Japanese defense policy; China; North Korea; maritime security; military history,https://www.nids.mod.go.jp/english/research/,https://www.nids.mod.go.jp/english/publication/,https://www.nids.mod.go.jp/english/research/profile/
Observer Research Foundation (ORF),https://www.orfonline.org,India,Indo-Pacific / Global South,Indian strategic-policy establishment; pro-India national-interest lens,India foreign policy; Indo-Pacific; China; technology; energy; Global South; security,https://www.orfonline.org/research,https://www.orfonline.org/research,https://www.orfonline.org/people
ORF America,https://orfamerica.org,United States / India-linked,Indo-Pacific,Indian and U.S. policy bridge; Global South-aware,Technology; geoeconomics; strategic affairs; development; energy; global governance,https://orfamerica.org/programs,https://orfamerica.org/analysis,https://orfamerica.org/experts
Manohar Parrikar Institute for Defence Studies and Analyses (MP-IDSA),https://www.idsa.in,India,South Asia,Indian government-linked defense research; official strategic community view,India defense; Pakistan; China; Indian Ocean; nuclear policy; terrorism,https://www.idsa.in/topics,https://www.idsa.in/publications,https://www.idsa.in/experts
Asan Institute for Policy Studies,https://en.asaninst.org,South Korea,East Asia,South Korean strategic-policy institute; center-right; alliance-forward,North Korea; U.S.-ROK alliance; China; Japan; nuclear policy; public opinion polling,https://en.asaninst.org/contents/category/publications/,https://en.asaninst.org/contents/category/publications/,https://en.asaninst.org/experts/
Korea Institute for National Unification (KINU),https://www.kinu.or.kr/eng,South Korea,East Asia,South Korean government-funded; North Korea and unification focused,North Korea; inter-Korean relations; sanctions; regime dynamics; human rights,https://www.kinu.or.kr/eng/module/report/list.do,https://www.kinu.or.kr/eng/module/report/list.do,https://www.kinu.or.kr/eng/main/contents.do?menuNo=100034
Korea Institute for International Economic Policy (KIEP),https://www.kiep.go.kr/eng/,South Korea,East Asia / Global,Government-affiliated; economics and geoeconomics focused,Trade; global economy; Asia-Pacific; China; Korea economic strategy; development,https://www.kiep.go.kr/eng/sub/list.do?bbsId=pub_main,https://www.kiep.go.kr/eng/sub/list.do?bbsId=pub_main,https://www.kiep.go.kr/eng/sub/staff.do
East-West Center,https://www.eastwestcenter.org,United States,Asia-Pacific,Nonpartisan; Asia-Pacific research and exchange institution,Asia-Pacific; Pacific Islands; U.S.-Asia relations; climate; governance; development,https://www.eastwestcenter.org/research,https://www.eastwestcenter.org/publications,https://www.eastwestcenter.org/about-us/experts
Asia Society Policy Institute,https://asiasociety.org/policy-institute,United States,Asia-Pacific,Nonpartisan policy bridge; diplomacy and Asia policy,China; climate; India; Southeast Asia; trade; U.S.-Asia relations,https://asiasociety.org/policy-institute/analysis,https://asiasociety.org/policy-institute/analysis,https://asiasociety.org/policy-institute/experts
Institute of South Asian Studies (ISAS NUS),https://www.isas.nus.edu.sg,Singapore,South Asia,Academic; Singapore-based South Asia specialist,India; Pakistan; Bangladesh; Sri Lanka; South Asian economy and security,https://www.isas.nus.edu.sg/publications/,https://www.isas.nus.edu.sg/publications/,https://www.isas.nus.edu.sg/people/
ChinaPower Project (CSIS),https://chinapower.csis.org,United States,China / Indo-Pacific,CSIS project; U.S. strategic lens; data-rich and well-presented,China military; economy; technology; diplomacy; demographics; Taiwan,https://chinapower.csis.org,https://chinapower.csis.org,https://chinapower.csis.org/about/
Global Taiwan Institute,https://globaltaiwan.org,United States,Taiwan / Indo-Pacific,Nonpartisan; Taiwan-focused; democracy and security oriented,Taiwan; cross-Strait relations; U.S.-Taiwan policy; China; Indo-Pacific security,https://globaltaiwan.org/programs/,https://globaltaiwan.org/publications/,https://globaltaiwan.org/team/
Nautilus Institute for Security and Sustainability,https://nautilus.org,United States,Asia-Pacific,Independent; peace and security; nonproliferation focused,Nuclear risk; North Korea; Asia-Pacific security; climate-security; deterrence,https://nautilus.org/projects/,https://nautilus.org/publications/,https://nautilus.org/about/people/
Middle East Institute (MEI),https://www.mei.edu,United States,Middle East,Centrist; regional-expert driven; broad contributor base,Iran; Gulf; Levant; North Africa; Turkey; energy; security; culture,https://www.mei.edu/research,https://www.mei.edu/publications,https://www.mei.edu/experts
Washington Institute for Near East Policy (WINEP),https://www.washingtoninstitute.org,United States,Middle East,Pro-Israel; U.S. security establishment; highly influential,Iran; Israel; Gulf; Arab politics; terrorism; U.S. Middle East policy,https://www.washingtoninstitute.org/policy-analysis,https://www.washingtoninstitute.org/policy-analysis,https://www.washingtoninstitute.org/experts
Carnegie Middle East Center,https://carnegie-mec.org,Lebanon,Middle East,Carnegie regional center; reform and governance lens; strong local expertise,Lebanon; Syria; Gulf; Iran; political economy; governance; conflict,https://carnegie-mec.org/diwan,https://carnegie-mec.org/diwan,https://carnegie-mec.org/experts
Institute for National Security Studies (INSS),https://www.inss.org.il,Israel,Middle East,Israeli national-security establishment; security-forward,Iran; Hezbollah; Hamas; Gaza; Israeli defense; normalization; cyber,https://www.inss.org.il/publications/,https://www.inss.org.il/publications/,https://www.inss.org.il/person/
Begin-Sadat Center for Strategic Studies (BESA),https://besacenter.org,Israel,Middle East,Israeli conservative; security-oriented,Israeli strategy; Iran; Turkey; Arab-Israeli conflict; military affairs,https://besacenter.org/perspectives-papers/,https://besacenter.org/perspectives-papers/,https://besacenter.org/team/
Gulf Research Center (GRC),https://www.grc.net,Saudi Arabia,Middle East / Gulf,Gulf policy-oriented; GCC perspective,Gulf security; energy; Iran-GCC relations; Yemen; Saudi Arabia; maritime security,https://www.grc.net/publications,https://www.grc.net/publications,https://www.grc.net/team
Emirates Policy Center (EPC),https://epc.ae/en,United Arab Emirates,Middle East / Gulf,UAE-based; likely aligned with UAE policy interests,Gulf; Iran; Yemen; Red Sea; Horn of Africa; energy; regional security,https://epc.ae/en/publications,https://epc.ae/en/publications,https://epc.ae/en/team
SETA Foundation,https://www.setav.org/en,Turkey,Middle East / Europe,Turkish government-aligned; pro-AKP tendency; useful for Ankara perspective,Turkey foreign policy; Syria; defense industry; Eastern Mediterranean; Gulf; EU-Turkey,https://www.setav.org/en/category/analysis/,https://www.setav.org/en/category/analysis/,https://www.setav.org/en/experts/
ORSAM (Center for Middle Eastern Studies),https://www.orsam.org.tr/en,Turkey,Middle East,Turkish regional-policy institute; Ankara-centric,Syria; Iraq; Kurds; Iran; Gulf; migration; water security,https://www.orsam.org.tr/en/publications,https://www.orsam.org.tr/en/publications,https://www.orsam.org.tr/en/experts
Institute for Security Studies (ISS Africa),https://issafrica.org,South Africa,Africa,African security-policy institute; broadly nonpartisan and policy-focused,African conflicts; terrorism; organized crime; maritime security; governance; peacekeeping,https://issafrica.org/research,https://issafrica.org/iss-today,https://issafrica.org/about-us/people
South African Institute of International Affairs (SAIIA),https://saiia.org.za,South Africa,Africa / Global South,Independent; Global South and African governance lens,African diplomacy; China-Africa; climate; trade; governance; multilateralism,https://saiia.org.za/research/,https://saiia.org.za/category/analysis/,https://saiia.org.za/people/
Africa Center for Strategic Studies,https://africacenter.org,United States,Africa,U.S. Department of Defense institution; U.S. security-policy lens on Africa,African security; coups; terrorism; Russia and Wagner influence; governance; maritime security,https://africacenter.org/thematic-areas/,https://africacenter.org/spotlight/,https://africacenter.org/experts/
Armed Conflict Location and Event Data Project (ACLED),https://acleddata.com,Global,Global,Data-first conflict monitor; methodology-driven; not a classic think tank,Conflict events; protests; violence against civilians; armed groups; crisis monitoring,https://acleddata.com/dashboard/,https://acleddata.com/analysis/,https://acleddata.com/about-acled/
Institute for Peace and Security Studies (IPSS),https://ipss-addis.org,Ethiopia,Africa,African peace and security academic-policy institute,African Union peace and security; Horn of Africa; conflict prevention; governance,https://ipss-addis.org/publications/,https://ipss-addis.org/publications/,https://ipss-addis.org/team/
ENACT Africa,https://enactafrica.org,Africa-wide,Africa,Organized crime and security project; empirical focus,Transnational organized crime; illicit flows; terrorism-crime nexus; Africa security,https://enactafrica.org/research,https://enactafrica.org/research,https://enactafrica.org/about-us
ACCORD (African Centre for Constructive Resolution of Disputes),https://www.accord.org.za,South Africa,Africa,Conflict-resolution oriented; African peacebuilding perspective,Conflict resolution; mediation; peacekeeping; African security; governance,https://www.accord.org.za/publications/,https://www.accord.org.za/conflict-trends/,https://www.accord.org.za/people/
Inter-American Dialogue,https://www.thedialogue.org,United States,Latin America,Centrist; Washington-Latin America policy community; strong convening power,Latin America politics; migration; China-Latin America; energy; democracy; education,https://www.thedialogue.org/analysis/,https://www.thedialogue.org/analysis/,https://www.thedialogue.org/experts/
Igarapé Institute,https://igarape.org.br/en,Brazil,Latin America,Progressive; data-driven security and governance institute,Public security; climate security; Amazon; digital threats; organized crime,https://igarape.org.br/en/publications/,https://igarape.org.br/en/publications/,https://igarape.org.br/en/team/
Fundação Getulio Vargas (FGV),https://portal.fgv.br/en,Brazil,Latin America,Major academic-policy institution; economics and governance focused,Brazil politics; economics; governance; regulation; international affairs; public policy,https://portal.fgv.br/en/research,https://portal.fgv.br/en/research,https://portal.fgv.br/en/faculty
Argentine Council for International Relations (CARI),https://www.cari.org.ar,Argentina,Latin America,Argentine foreign-policy establishment; centrist diplomatic lens,Argentina foreign policy; South Atlantic; Latin America; China; Europe,https://www.cari.org.ar/publicaciones.html,https://www.cari.org.ar/publicaciones.html,https://www.cari.org.ar/miembros.html
CIDE,https://www.cide.edu,Mexico,Latin America,Academic public-policy research institute,Mexico politics; public policy; security; governance; migration,https://www.cide.edu/investigacion/,https://www.cide.edu/investigacion/,https://www.cide.edu/docencia/profesores-investigadores/
Institute for Economics and Peace (IEP),https://www.economicsandpeace.org,Australia,Global,Peace-index and metrics-oriented; data-driven risk models,Global Peace Index; terrorism index; positive peace; conflict risk metrics,https://www.economicsandpeace.org/reports/,https://www.economicsandpeace.org/reports/,https://www.economicsandpeace.org/about/
Centre for International Governance Innovation (CIGI),https://www.cigionline.org,Canada,Global,Independent; global governance and policy research,Global governance; digital policy; trade; international law; security; economics,https://www.cigionline.org/topics/,https://www.cigionline.org/publications/,https://www.cigionline.org/people/
China Institutes of Contemporary International Relations (CICIR),http://www.cicir.ac.cn,China,Global (State-Linked),Chinese state-linked; close to Ministry of State Security; PERSPECTIVE INTELLIGENCE ONLY,U.S.-China; Taiwan; Asia-Pacific; security; global governance; Chinese threat perception,http://www.cicir.ac.cn,http://www.cicir.ac.cn,http://www.cicir.ac.cn
Shanghai Institutes for International Studies (SIIS),https://www.siis.org.cn,China,Global (State-Linked),Chinese state-affiliated; Shanghai policy establishment; PERSPECTIVE INTELLIGENCE ONLY,U.S.-China; Belt and Road; Asia-Pacific; global governance; economics,https://www.siis.org.cn/Research/EnPublications,https://www.siis.org.cn/Research/EnPublications,https://www.siis.org.cn/Experts
Chinese Academy of Social Sciences (CASS),http://casseng.cssn.cn,China,Global (State-Linked),Official Chinese academic-policy system; state-aligned; PERSPECTIVE INTELLIGENCE ONLY,China politics; economics; global order; regional studies; social sciences,http://casseng.cssn.cn/research,http://casseng.cssn.cn/research,http://casseng.cssn.cn/about/
Russian International Affairs Council (RIAC),https://russiancouncil.ru/en,Russia,Global (State-Linked),Russian foreign-policy establishment; state-linked; PERSPECTIVE INTELLIGENCE ONLY,Russia foreign policy; NATO; China; Middle East; Eurasia; global order,https://russiancouncil.ru/en/analytics-and-comments/,https://russiancouncil.ru/en/analytics-and-comments/,https://russiancouncil.ru/en/about/team/
Valdai Discussion Club,https://valdaiclub.com,Russia,Global (State-Linked),Kremlin-aligned strategic messaging platform; PERSPECTIVE INTELLIGENCE ONLY,Multipolarity; Russia-West confrontation; China; Eurasia; global order,https://valdaiclub.com/a/,https://valdaiclub.com/a/,https://valdaiclub.com/about/experts/
Primakov Institute of World Economy and International Relations (IMEMO),https://www.imemo.ru/en,Russia,Global (State-Linked),Russian Academy establishment; more scholarly but within Russian institutional environment; PERSPECTIVE INTELLIGENCE ONLY,World economy; Russia; security; arms control; forecasting; international relations,https://www.imemo.ru/en/research,https://www.imemo.ru/en/publications,https://www.imemo.ru/en/about/persons